step,Konstanz SW mean,Konstanz SW max,Konstanz SW min,Konstanz SW 3s max,Konstanz GEFS-c00 mean,Konstanz GEFS-c00 max,Konstanz GEFS-p01 mean,Konstanz GEFS-p01 max,Konstanz GEFS-p02 mean,Konstanz GEFS-p02 max,Konstanz GEFS-p03 mean,Konstanz GEFS-p03 max,Konstanz GEFS-p04 mean,Konstanz GEFS-p04 max,Konstanz GFS mean,Konstanz GFS max,Konstanz ICON-EU mean,Konstanz ICON-EU max,Konstanz ICON-D2 mean,Konstanz ICON-D2 max,Konstanz MOSMIX mean,Konstanz MOSMIX max,Konstanz SW mean se,Konstanz SW max se,Konstanz SW min se,Konstanz SW 3s max se
78,1.16,3.08,0.43,1.23,1.59,5.74,1.70,6.27,1.68,6.34,1.63,6.16,1.71,6.23,1.67,6.88,1.61,6.39,1.66,5.34,1.47,5.07,0.07,0.17,0.02,0.07
79,1.16,3.08,0.43,1.23,1.59,5.74,1.70,6.28,1.68,6.34,1.63,6.16,1.71,6.23,1.67,6.90,1.61,6.40,1.67,5.35,1.47,5.07,0.07,0.17,0.02,0.07
80,1.17,3.08,0.43,1.23,1.60,5.73,1.71,6.29,1.68,6.32,1.63,6.14,1.71,6.20,1.68,6.90,1.61,6.41,1.67,5.35,1.48,5.08,0.07,0.17,0.02,0.07
81,1.17,3.10,0.43,1.24,1.60,5.75,1.72,6.32,1.68,6.33,1.63,6.16,1.72,6.22,1.68,6.94,1.62,6.44,1.67,5.36,1.48,5.09,0.07,0.17,0.02,0.07
82,1.18,3.11,0.43,1.24,1.61,5.75,1.72,6.32,1.69,6.33,1.63,6.16,1.73,6.21,1.69,6.95,1.62,6.44,1.68,5.36,1.49,5.09,0.07,0.17,0.02,0.07
83,1.18,3.13,0.43,1.25,1.61,5.77,1.73,6.34,1.69,6.34,1.63,6.18,1.73,6.22,1.70,6.98,1.62,6.45,1.69,5.38,1.49,5.10,0.07,0.17,0.02,0.07
84,1.18,3.11,0.43,1.25,1.61,5.76,1.73,6.35,1.69,6.33,1.63,6.16,1.73,6.20,1.69,6.97,1.62,6.43,1.68,5.39,1.49,5.09,0.07,0.17,0.02,0.07
85,1.18,3.11,0.43,1.24,1.62,5.77,1.74,6.38,1.70,6.35,1.63,6.17,1.74,6.20,1.70,6.98,1.62,6.45,1.69,5.43,1.49,5.09,0.07,0.17,0.02,0.07
86,1.18,3.11,0.43,1.24,1.62,5.77,1.75,6.38,1.70,6.34,1.63,6.17,1.74,6.20,1.70,6.98,1.62,6.45,1.69,5.47,1.49,5.09,0.07,0.17,0.02,0.07
87,1.18,3.12,0.43,1.24,1.63,5.77,1.75,6.39,1.70,6.35,1.63,6.18,1.74,6.20,1.70,6.97,1.63,6.48,1.69,5.49,1.49,5.09,0.07,0.17,0.02,0.07
88,1.18,3.13,0.43,1.25,1.64,5.80,1.76,6.42,1.71,6.38,1.64,6.21,1.75,6.21,1.71,6.99,1.63,6.50,1.70,5.52,1.49,5.10,0.07,0.17,0.02,0.07
89,1.18,3.13,0.43,1.25,1.64,5.81,1.76,6.41,1.72,6.39,1.65,6.22,1.75,6.22,1.71,7.00,1.63,6.51,1.70,5.54,1.49,5.11,0.07,0.17,0.02,0.07
90,1.18,3.13,0.43,1.25,1.65,5.82,1.76,6.41,1.72,6.42,1.65,6.24,1.75,6.22,1.71,7.01,1.63,6.53,1.70,5.56,1.49,5.11,0.07,0.17,0.02,0.07
91,1.18,3.13,0.43,1.24,1.66,5.85,1.77,6.42,1.73,6.45,1.66,6.27,1.76,6.23,1.72,7.03,1.63,6.55,1.70,5.59,1.49,5.12,0.07,0.17,0.02,0.07
92,1.19,3.14,0.44,1.25,1.67,5.88,1.78,6.44,1.74,6.49,1.67,6.31,1.77,6.26,1.73,7.05,1.64,6.57,1.70,5.63,1.50,5.13,0.07,0.18,0.02,0.07
93,1.19,3.17,0.43,1.26,1.68,5.91,1.79,6.47,1.75,6.53,1.67,6.35,1.77,6.28,1.74,7.08,1.64,6.60,1.70,5.67,1.50,5.14,0.07,0.18,0.02,0.07
94,1.20,3.18,0.43,1.26,1.69,5.92,1.79,6.46,1.75,6.55,1.68,6.36,1.77,6.29,1.74,7.09,1.64,6.64,1.70,5.69,1.50,5.14,0.07,0.18,0.02,0.07
